MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,Class
0.2,0.82,-0.11,-763.67,548.34,-335.45,0.6,0.23,0.31,0
0.65,-0.38,0.19,-761.72,554.2,-336.91,0.15,-0.22,-0.89,0
0.65,-0.38,0.64,-772.95,547.85,-328.12,1.35,-0.22,-0.14,0
-0.85,-0.98,0.79,-759.77,544.92,-334.47,-0.75,-0.52,-0.44,0
1.25,-0.53,0.04,-754.39,544.92,-316.41,-0.75,-0.22,-0.89,0
1.7,0.67,0.04,-760.74,559.57,-324.71,0.15,-0.52,-0.14,0
-0.55,0.52,-0.11,-761.72,549.32,-327.15,-0.75,-0.52,-2.39,0
0.65,0.82,0.64,-762.21,550.78,-324.22,-0.3,0.23,0.31,0
0.8,0.67,-1.16,-765.62,563.48,-331.05,-0.3,0.23,-0.14,0
0.05,-0.98,1.99,-758.3,555.18,-325.68,-0.3,0.53,-0.89,0
-0.55,1.57,-2.21,-764.65,548.34,-325.68,-0.15,0.38,0.46,0
-0.25,0.07,-0.11,-768.55,539.06,-334.47,-0.15,0.68,-0.74,0
0.05,-0.08,-1.61,-768.07,547.36,-328.12,0.15,0.23,1.06,0
-0.4,-0.08,-1.16,-783.69,545.41,-325.2,-0.45,0.68,0.46,0
-0.4,-0.08,0.04,-760.74,560.06,-323.24,-0.15,1.43,-0.74,0
0.65,0.07,0.94,-777.34,541.5,-322.27,-0.15,0.68,-0.74,0
0.5,1.42,-0.41,-769.53,557.62,-325.68,-1.05,-1.72,-0.44,0
-1.3,0.67,1.24,-749.02,549.8,-324.71,-0.15,-0.37,-0.74,0
-0.4,0.22,-0.71,-763.67,538.09,-325.68,1.95,-0.37,0.46,0
0.5,-0.53,1.54,-760.25,546.88,-316.89,0.75,0.38,-0.74,0
-0.25,0.52,-1.01,-765.62,545.41,-321.78,0.3,0.38,-0.29,0
-1.3,0.67,1.24,-768.07,535.64,-322.75,0.6,0.53,0.31,0
0.05,0.22,0.04,-765.62,550.29,-320.8,1.2,-1.12,0.01,0
-0.4,0.67,0.04,-782.23,551.76,-325.68,0.75,-0.82,-0.74,0
-0.85,0.22,0.04,-769.53,550.78,-329.1,0.75,-1.12,0.01,0
0.65,0.07,-0.11,-771.0,549.32,-326.66,0.75,-1.57,-1.79,0
-0.55,-0.68,0.19,-769.04,552.73,-332.03,-0.3,0.53,-0.89,0
0.05,-0.08,-0.41,-767.58,542.97,-327.15,-1.05,0.23,-0.14,0
-1.6,-0.53,0.34,-768.55,554.2,-322.27,0.15,0.23,-0.44,0
0.05,-0.53,-0.71,-772.46,536.13,-312.99,0.6,0.23,1.36,0
0.2,0.07,-0.56,-781.25,556.15,-326.17,0.15,-0.22,-0.14,0
-2.35,0.52,-0.11,-766.6,548.34,-321.78,0.15,0.53,-0.89,0
0.65,-0.38,-0.11,-764.16,534.18,-333.98,-1.05,1.28,-0.89,0
0.2,0.52,0.94,-767.58,544.43,-320.31,-1.35,0.38,-1.49,0
0.5,-1.28,0.79,-764.16,547.85,-323.73,-0.3,0.53,-0.89,0
-0.25,-0.68,-0.11,-766.6,551.76,-328.12,0.15,0.53,1.36,0
0.2,-0.68,-1.01,-773.44,542.48,-316.41,0.3,-0.82,-0.29,0
-0.25,-0.38,0.64,-778.81,553.71,-341.8,0.6,1.73,-0.14,0
-0.4,-0.08,-0.71,-771.0,545.41,-325.68,1.5,-0.07,-1.04,0
-0.85,0.22,1.99,-763.18,536.62,-324.22,-0.15,-0.37,-0.29,0
-0.55,0.52,-0.11,-763.18,544.92,-322.75,0.15,0.98,0.31,0
-0.55,-0.38,0.64,-765.14,542.97,-333.01,0.9,-0.22,-0.14,0
-0.25,0.07,0.64,-775.39,542.48,-322.27,0.15,-0.22,-0.89,0
-0.85,-0.08,0.04,-753.91,553.71,-318.85,1.35,-0.52,-0.14,0
1.4,0.82,0.19,-766.6,548.34,-319.82,-0.75,-0.52,-0.44,0
0.5,-0.08,0.79,-767.58,545.9,-319.34,-1.05,-0.22,-0.14,0
-1.0,0.82,-0.56,-761.23,552.73,-316.89,-0.45,-0.07,0.01,0
-0.55,-1.43,0.94,-768.55,545.41,-327.15,0.15,-0.22,-1.34,0
-0.25,0.07,-0.56,-774.41,550.78,-317.38,-0.9,-0.07,-1.04,0
0.05,0.22,-0.41,-758.3,551.76,-328.61,-0.15,-0.37,0.76,0
