MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,AccX2,AccY2,AccZ2,MagX3,MagY3,MagZ3,AccX3,AccY3,AccZ3,Class
-1.83,-1.97,0.83,-10.83,7.74,-0.31,-0.45,-1.0,-1.08,11.0,11.29,-6.76,0.14,0.92,-0.47,0.1,8.87,17.25,2
-0.18,0.73,0.08,5.77,-1.54,4.08,0.0,0.95,-0.03,4.16,5.43,-4.8,0.29,0.32,0.13,-11.13,2.03,2.6,2
0.72,1.18,-0.67,1.38,0.41,6.52,-0.9,-1.45,0.42,6.11,-2.38,5.94,-0.76,-0.73,-0.17,-2.34,3.5,6.99,2
0.12,-0.62,-0.07,0.89,1.39,13.36,0.3,-0.25,-0.33,-10.98,-4.82,-2.36,-0.76,-0.43,0.88,-0.39,0.08,-1.31,2
0.27,-0.02,-0.22,13.58,-0.56,8.48,0.45,0.2,-0.03,3.67,-3.35,3.01,-0.31,-0.13,0.28,-1.86,3.5,7.48,2
-0.78,-0.62,0.38,-1.55,-0.07,-2.27,-0.3,-0.55,-0.03,9.04,12.27,0.08,0.89,0.62,-1.22,0.1,-5.29,4.06,2
0.57,-0.62,-0.07,17.0,-0.56,0.18,-0.3,0.2,-0.03,-1.7,-2.87,9.36,0.14,0.62,-0.47,0.1,12.77,-3.75,2
-0.48,-1.22,-0.22,-3.02,-6.42,7.5,-0.45,-0.25,0.42,-9.02,6.9,3.5,0.89,0.17,1.03,-2.34,-4.8,2.6,2
0.12,0.13,0.38,-0.09,2.86,-7.15,0.6,0.05,0.12,2.7,-3.35,-6.27,0.59,0.17,-0.02,9.86,-5.78,-4.24,2
0.12,-0.62,0.38,0.4,-7.89,2.13,0.3,0.05,-1.08,-5.61,-2.38,-4.32,-0.61,0.62,-0.77,-10.64,2.52,-2.29,2
0.12,-0.17,-0.52,2.35,-0.56,3.11,0.9,-0.1,0.72,-3.16,-4.82,-1.87,-0.61,0.17,-0.02,-10.64,-15.55,5.04,2
-1.38,-0.77,0.53,-4.97,-3.0,-5.2,-0.6,0.65,-0.03,-0.23,-0.91,1.05,0.29,-0.43,-0.62,2.05,-9.69,3.57,2
-0.18,0.28,0.53,7.24,-9.35,-9.1,0.6,-0.25,0.12,-5.61,11.29,8.87,0.29,0.32,0.13,-6.74,1.54,8.46,2
-0.78,0.13,-0.82,2.35,-3.98,-10.57,-0.6,0.2,1.47,-2.19,9.83,-7.25,0.29,1.52,-0.17,-20.9,2.03,6.5,2
0.57,-0.62,-0.52,14.07,1.88,7.01,0.3,-0.25,0.12,5.14,4.95,-1.87,-0.46,0.02,-0.17,-1.37,-16.04,5.04,2
0.12,-1.37,-0.82,3.33,2.86,7.99,1.5,0.05,-0.33,0.25,10.81,-8.71,-0.46,0.02,1.18,11.33,-10.66,1.13,2
-0.18,-0.17,-0.07,3.82,-2.03,9.45,0.0,-0.85,0.27,-3.65,7.39,6.43,0.89,0.17,-0.02,3.03,5.94,-5.7,2
-0.33,-0.17,0.38,-2.53,11.16,-1.78,0.6,0.05,0.12,-8.05,-2.38,-10.66,-0.61,-0.58,-0.02,0.1,-2.36,-3.26,2
-1.53,-0.17,-0.07,4.79,5.79,4.57,0.9,-0.1,0.27,-9.02,-6.28,-3.83,0.29,-1.03,0.43,-3.81,-9.2,4.06,2
0.12,0.88,-0.07,-10.83,-4.47,-9.1,-0.3,-0.1,-0.03,2.21,5.92,-1.87,-0.46,1.07,0.13,-7.23,-9.69,6.99,2
0.57,0.58,-1.72,9.19,0.9,-1.29,-0.6,0.2,0.27,-6.09,-10.19,17.66,-1.21,-1.03,-0.17,-2.34,4.96,-3.75,2
0.27,1.18,-0.22,-3.99,-7.4,11.89,-1.05,-0.1,-0.03,-4.63,2.99,13.26,-0.46,0.02,-0.92,-8.2,-8.71,-6.68,2
0.27,0.28,0.08,4.31,0.9,2.62,0.45,-0.1,-0.03,8.55,-4.33,-5.29,0.29,0.77,0.88,4.49,-2.85,0.64,2
0.27,-0.77,0.08,2.35,3.83,-6.66,0.3,0.8,0.87,-3.16,7.39,6.43,0.14,0.92,-0.77,-3.81,3.98,-1.8,2
-0.33,0.13,-0.07,-5.95,-2.51,0.66,0.0,-0.1,0.27,-2.68,-1.4,3.5,0.89,-0.58,0.73,-3.81,-2.85,-6.68,2
-0.18,0.28,0.08,-0.09,1.39,2.13,0.0,-0.55,-0.03,-9.51,4.95,0.08,-1.36,-0.13,-0.02,-8.2,15.7,-2.77,2
-0.78,-1.82,0.38,5.77,-9.84,2.62,0.9,-1.3,0.27,0.74,3.97,4.96,-0.01,-0.73,0.13,-8.2,-5.78,5.53,2
0.57,-0.17,0.68,-8.39,11.65,-4.71,-0.3,0.65,1.02,-5.12,1.04,2.03,0.59,0.17,-0.47,2.54,-1.39,1.62,2
-1.38,-0.47,0.53,12.61,-6.42,-6.17,-0.15,-1.0,0.42,0.74,11.29,-7.25,1.19,-1.48,-1.37,-10.16,-5.78,-2.29,2
0.27,-0.77,0.53,7.72,-3.49,8.48,0.6,-0.25,0.12,10.02,2.99,6.43,0.29,-1.03,0.43,-10.16,1.54,-3.75,2
0.12,0.58,-0.07,-4.48,-3.0,-6.17,0.0,0.2,-0.03,-7.07,2.02,-5.29,-0.01,-0.43,0.43,9.86,-11.64,3.57,2
0.27,-1.22,-0.67,-2.04,-1.05,7.5,-0.45,0.05,-0.63,1.23,-1.4,8.87,-0.61,0.62,-0.47,-5.27,-10.66,0.16,2
