MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,AccX2,AccY2,AccZ2,MagX3,MagY3,MagZ3,AccX3,AccY3,AccZ3,Class
0.71,0.3,-0.87,7.16,-8.67,2.23,0.35,0.93,-0.56,-14.11,-5,-5.53,0.95,0.24,0.3,1.03,-7.86,-0.84,0
-0.04,-0.6,-0.12,-13.84,6.96,6.62,2.75,1.68,0.19,-5.81,-8.91,5.7,-0.4,0.09,-0.6,4.44,12.65,-11.1,0
-0.94,-1.35,-0.87,10.09,-2.32,-2.17,0.05,-0.12,-0.41,-11.18,-1.58,-9.44,0.5,0.24,0,-1.9,3.86,-0.36,0
-0.94,-0.15,-0.12,-7.98,-2.32,-0.7,-0.1,0.48,1.69,9.33,5.74,-14.81,-1.3,-0.66,-0.15,-2.88,3.86,5.01,0
0.11,-1.5,-1.47,4.72,8.42,4.18,-0.1,-0.27,-0.56,2.01,-10.37,6.19,-0.7,-2.31,0,0.05,6.3,-9.63,0
-0.34,0,0.18,-6.03,1.1,6.62,-0.25,-0.42,-0.41,2.5,-7.93,3.74,-0.25,0.99,-0.3,-4.35,0.44,7.94,0
0.11,-0.75,-0.72,6.67,1.1,3.69,-0.1,0.48,-1.31,-9.22,7.7,-0.65,-0.1,0.54,0.6,-3.37,-0.04,-1.33,0
-0.49,0.3,-1.62,1.79,-2.81,11.02,-0.1,0.93,0.19,-10.2,-6.95,5.7,0.2,0.69,0,2.49,-5.42,0.62,0
-0.49,1.35,-0.12,4.72,-5.74,0.76,-0.85,-0.57,0.19,-3.85,-4.02,-1.14,0.5,-0.06,0,-4.35,1.42,-1.33,0
0.56,0.75,-0.27,-1.63,15.75,-2.66,-0.7,-0.87,0.34,-4.83,8.67,7.16,0.35,1.14,-1.65,4.93,7.28,0.13,0
0.41,0.3,1.08,-2.12,-1.83,6.13,-0.25,-1.17,0.79,-8.74,7.7,0.33,-0.25,0.24,0.75,-5.32,-4.93,-7.19,0
0.56,0,-0.72,4.23,-3.78,34.94,-1.15,0.33,0.79,1.03,-8.91,22.3,0.65,-0.66,0.6,9.33,1.42,-21.84,0
-0.64,0,-1.47,-0.65,1.59,2.23,0.05,1.08,-0.41,-0.92,13.55,1.3,-1.3,-1.41,-0.6,5.42,-4.93,3.06,0
0.11,-0.3,0.18,-0.65,2.08,-0.21,0.05,-0.12,-0.11,-4.34,1.35,6.19,-0.4,0.09,-1.35,-0.93,9.23,7.94,0
-0.04,1.05,-1.32,-19.21,2.08,3.2,1.4,-1.17,-0.86,0.05,-1.09,-12.37,-1.45,-0.51,-0.75,-17.04,5.82,14.29,0
-0.64,0.45,-0.72,2.76,-2.32,-0.7,-0.85,-0.27,0.19,3.47,-6.46,4.23,-1,0.24,-0.3,5.42,4.35,9.9,0
-1.69,-0.15,-0.12,2.76,7.93,0.27,-1.45,0.63,0.34,2.5,11.11,-15.3,0.5,0.24,0.3,8.35,5.82,5.99,0
-0.34,0.75,1.68,-3.58,2.08,7.11,-0.25,-0.12,0.34,-5.81,1.84,-8.46,0.2,-0.06,-0.75,3.96,5.33,-6.22,0
0.11,-0.3,-0.72,2.76,7.93,67.66,1.7,0.33,-0.11,-4.83,-10.86,38.41,-0.4,0.09,0.6,-0.44,-7.86,-3.29,0
-0.49,-0.6,0.33,76.49,3.54,24.2,-1.15,1.08,-2.36,26.91,6.23,69.17,-0.25,-0.81,-0.75,-143.02,10.21,-126.82,0
0.41,0.6,0.33,-5.05,5,9.06,-1.15,1.38,-1.61,-7.27,19.9,-4.07,-0.25,-0.81,0.3,-54.64,0.93,-50.65,0
0.11,0,-0.27,8.13,9.4,14.92,2,1.23,0.49,-6.29,15.02,12.53,1.1,0.84,2.4,-5.81,-7.86,26.99,0
-0.34,0.75,0.18,-6.03,11.84,11.99,1.4,0.63,2.59,-16.55,29.18,22.3,-0.1,0.84,1.65,-12.65,6.79,31.38,0
1.76,0.75,-0.27,-0.65,18.19,-0.21,2.15,-0.87,2.59,2.01,1.35,13.51,0.95,0.24,1.5,0.05,-8.34,-2.8,0
0.11,-0.75,0.18,3.25,4.03,-4.61,2.6,-0.87,1.09,-10.69,12.58,-38.25,1.55,0.54,1.65,-5.32,-11.76,-20.38,0
0.71,-0.6,-0.42,2.76,8.42,79.86,1.4,0.33,1.54,-4.83,-52.36,141.93,1.1,0.54,2.7,-12.65,-1.02,14.29,0
-0.04,0.6,-0.87,-48.51,-3.3,-30,0.05,0.33,1.09,-11.67,26.25,-139.81,1.7,-0.81,0.75,20.07,2.4,-10.61,0
-0.34,-0.3,0.18,-0.65,-7.2,-13.89,-0.85,0.18,-0.26,11.77,6.23,-45.08,-0.7,0.24,-0.3,11.28,19.49,38.71,0
-0.04,0.6,0.33,3.74,-8.67,8.57,0.35,0.48,1.24,6.4,8.18,3.26,-1.3,0.09,-0.15,-6.79,8.26,-4.26,0
-0.04,0.3,0.33,-0.65,-1.34,21.76,-1.45,0.33,-0.41,-8.74,-10.37,5.7,-0.85,-0.21,-0.6,-3.86,0.44,-3.29,0
-0.49,-0.6,-0.42,3.74,4.52,-9,-1.15,-0.42,1.54,-1.9,-10.37,13.02,-0.1,0.54,0.9,-4.83,-6.39,10.39,0
0.71,0.6,0.63,-7,-7.69,-8.03,-0.85,0.48,0.49,-1.41,-7.93,-3.09,1.1,-0.21,0.15,7.37,5.82,-6.22,0
0.71,-0.15,-0.87,-1.14,-0.85,2.23,-0.55,-1.02,0.19,2.5,6.23,5.7,-0.1,0.54,0.15,-0.93,4.35,5.01,0
0.11,0.45,-0.27,-0.65,-9.64,4.67,-0.55,0.18,-1.01,10.8,0.37,-3.58,0.35,-0.96,0.6,0.54,6.3,15.76,0
1.01,-1.95,0.48,-11.88,1.59,-23.65,-1.45,-0.12,-0.11,13.24,-3.54,-30.92,0.95,0.24,-0.75,-23.39,16.07,36.26,0
-0.64,0.75,1.68,8.62,-1.83,36.89,-0.1,1.23,0.94,-4.34,13.55,-33.85,0.2,0.99,0,1.51,0.44,-27.7,0
0.71,-0.6,-0.87,-3.1,-5.25,8.09,0.65,0.18,0.19,-3.85,0.37,-12.86,-0.4,0.09,0.9,-13.62,3.37,15.76,0
-0.94,-0.6,-0.12,-5.54,10.86,4.67,0.35,0.18,-1.01,-2.88,-12.81,-7.49,-0.1,0.54,-0.9,-6.79,2.4,3.55,0
1.01,0,-0.27,15.95,-10.13,3.2,1.7,1.38,0.34,1.52,4.77,-6.51,-0.1,0.09,0.15,2.98,5.33,-1.33,0
-0.49,-0.15,-0.12,-0.17,-7.2,7.11,0.65,-0.57,0.19,-9.22,-5,-5.04,-0.1,0.54,0.6,-0.93,4.35,4.04,0
-0.04,-0.6,-1.32,-17.74,2.08,-0.21,0.95,1.08,-0.11,-2.39,-15.25,2.77,0.95,1.44,0.75,-4.35,7.28,1.11,0
0.71,0.3,-0.12,-5.54,-4.27,-3.14,0.5,1.38,1.09,-3.36,-4.02,10.09,-1,0.99,-0.3,-6.3,9.23,0.13,0
-0.04,0.6,0.33,-6.03,3.05,-29.51,0.35,-1.02,0.19,1.03,5.74,-2.6,-0.25,0.24,-0.75,-6.79,12.65,17.22,0
0.11,-2.25,-0.72,-3.58,-3.3,-5.59,-0.55,-0.57,-1.76,-5.32,5.25,-2.6,-0.7,1.74,0,-3.37,1.91,-9.15,0
-0.04,-0.15,-0.12,-7,-13.55,-0.7,-0.1,0.18,-0.26,1.03,3.79,4.23,-0.85,0.54,-0.15,4.44,-5.9,-0.36,0
