MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,AccX2,AccY2,AccZ2,MagX3,MagY3,MagZ3,AccX3,AccY3,AccZ3,Class
0.32,0.75,-0.94,2.02,0.62,-11.04,-0.44,-0.28,-0.56,-0.81,-3.72,-8.25,-0.21,-0.26,-0.28,11.64,-10.42,4.64,0
-0.73,-1.65,-1.54,-7.75,1.1,-12.01,0.31,0.62,0.34,4.07,2.14,-23.38,-1.56,-1.16,-0.43,20.92,2.28,-19.28,0
-1.33,-0.3,-0.04,-23.37,-24.78,4.1,-1.04,0.62,0.34,5.05,5.07,-86.86,0.39,-1.16,0.32,19.45,-0.65,3.18,0
-0.58,0.75,-0.94,61.1,-41.38,-97.46,0.91,0.47,-0.11,27.51,-1.28,136.28,0.54,0.94,0.17,-156.82,68.2,247.32,0
-0.73,1.35,-0.34,22.04,33.33,-226.86,0.61,-0.43,-1.16,3.09,29.48,-8.74,0.54,0.19,0.47,9.69,-10.9,-66.16,0
-2.23,0,-0.49,8.36,27.96,10.94,-1.19,0.17,-0.86,-13.02,26.06,-39.01,1.59,1.09,-0.13,-5.45,-5.53,6.11,0
-1.78,1.2,-1.24,-15.07,18.19,13.87,-0.44,0.47,0.19,27.51,-5.68,62.55,1.14,0.34,0.32,-42.56,4.23,41.26,0
0.47,1.8,-0.34,22.04,24.05,1.66,1.06,-0.43,-1.46,20.67,-16.42,3.96,-0.96,-0.86,-0.28,20.43,9.6,10.01,0
-0.13,0.75,-1.24,9.83,17.22,-1.76,0.01,0.92,-0.56,3.09,1.16,-0.43,-0.21,-0.26,-0.28,12.13,2.77,0.25,0
-1.18,1.8,-0.34,12.27,20.15,-6.15,0.91,0.17,0.19,-7.65,-1.28,0.05,-1.86,-0.86,1.22,21.4,-6.51,6.11,0
-1.33,-0.3,-0.94,-4.82,31.38,-19.83,-1.19,0.47,0.19,7,0.18,-8.74,-0.06,-1.16,0.32,4.31,-0.16,0.25,0
0.02,0.6,-0.64,13.74,12.33,-3.71,-1.34,0.32,-0.41,-20.34,12.39,-70.26,0.09,0.49,-2.53,-3.01,3.75,5.62,0
-1.63,2.25,-0.34,21.55,19.66,5.56,0.31,1.37,0.34,-3.25,-5.19,-8.25,0.39,-1.46,1.37,-16.68,-2.11,10.01,0
-0.28,2.25,-1.09,7.39,19.66,5.08,-0.59,0.32,0.34,-6.18,6.53,-1.41,-0.21,0.19,0.47,-2.03,-5.53,-10.01,0
-0.28,1.35,0.11,-1.4,43.58,-47.66,0.61,0.32,0.79,2.12,6.04,4.45,0.69,0.34,1.37,16.03,-10.9,-9.52,0
0.47,0.3,-0.64,23.01,51.4,-66.21,1.06,1.82,0.79,-2.77,9.95,14.21,-0.21,0.19,1.22,19.45,-12.37,-19.28,0
0.02,1.05,-0.64,156.8,120.24,10.45,2.26,-0.13,1.54,-10.58,52.43,1.52,-0.06,0.64,-0.88,53.14,-16.76,-57.37,0
-1.18,1.05,0.11,100.65,-156.61,-539.36,-0.44,0.47,-0.56,-64.29,-60.85,-180.61,0.09,-0.56,1.52,-197.35,179.04,-1111.08,0
-0.73,1.05,1.31,-2.38,2.08,0.68,-0.74,0.17,-0.11,5.05,6.53,-1.9,1.14,0.64,0.32,-9.36,-2.11,3.67,0
-0.73,1.05,0.56,-5.8,0.13,-0.29,-0.59,0.32,-1.16,5.54,4.58,-1.9,-0.36,-1.16,-0.13,0.41,2.28,-2.19,0
-1.63,-0.15,0.56,7.88,-5.73,-7.62,0.01,0.92,-0.11,3.09,4.09,-6.29,-0.96,1.69,-0.28,-12.78,0.82,1.23,0
-0.28,0.6,0.56,4.46,8.92,-7.13,1.51,-0.13,1.54,7,-7.63,1.52,1.59,1.09,-0.13,8.22,2.28,6.11,0
-0.13,-0.3,0.71,-2.87,-10.62,-7.13,-1.79,-0.43,0.04,14.81,-4.7,4.94,-0.06,0.04,0.32,-1.55,4.72,2.2,0
-0.88,0.45,-0.04,6.9,5.01,-1.76,-1.19,0.47,-0.56,-4.23,-13.98,-6.29,-0.21,-0.86,-0.28,-6.43,3.75,11.48,0
-0.13,-0.75,-1.24,3.48,5.99,0.68,0.61,0.62,1.24,-9.11,-7.14,-3.85,1.59,0.34,0.62,-2.52,-4.07,-0.73,0
0.02,-0.15,1.31,0.06,-7.69,17.77,1.66,-1.03,-0.11,3.09,4.09,-2.39,-0.21,-0.56,1.52,-8.38,-17.25,-2.19,0
-1.33,0.75,-0.49,11.78,2.08,8.49,0.91,-0.58,0.94,-2.77,-10.07,-3.36,-0.81,-0.71,0.62,-1.55,-12.86,-10.01,0
-0.73,0.3,0.11,-5.8,8.43,-1.76,-0.74,1.22,0.19,3.58,8,-6.78,-0.06,0.34,-0.13,-8.87,-7.49,-3.17,0
-1.33,-0.3,-0.04,1.53,4.52,8.01,-0.14,-0.13,-1.16,0.65,6.53,7.38,-0.06,0.04,0.62,0.9,10.09,9.53,0
0.47,-0.15,-1.54,-5.8,-2.31,1.17,-1.04,0.32,0.04,7,3.6,1.03,-0.81,0.04,0.32,-0.08,0.82,-1.22,0
-0.58,1.2,-0.49,1.04,4.52,1.66,-0.14,-0.88,-0.71,0.65,-3.23,-4.83,0.09,1.69,-0.28,-1.55,5.7,9.53,0
-0.28,-0.6,-0.34,-1.4,4.03,1.17,0.01,-1.03,0.19,-3.25,0.67,-7.76,-0.06,0.04,1.07,-10.33,7.65,0.74,0
-0.73,1.05,-0.64,-14.58,1.59,6.54,-0.44,0.92,0.64,6.51,-13.49,-0.92,-0.36,-1.16,0.32,-13.26,11.56,16.85,0
1.37,0.3,-0.64,-2.38,1.59,-3.22,1.06,0.32,-0.71,-0.81,3.6,-4.34,0.09,0.19,0.47,5.78,-7.97,1.71,0
0.32,0.45,-0.04,4.95,5.5,1.17,0.61,-1.18,-0.41,12.86,-13.98,5.91,0.54,-0.26,0.47,4.8,-5.53,3.18,0
0.02,-0.6,0.56,-5.31,-6.22,2.15,0.31,0.32,-0.71,3.09,-2.75,-4.83,-0.21,0.19,0.47,-8.38,-0.65,22.22,0
-1.18,-0.15,-0.34,-13.61,9.89,2.64,-1.04,0.62,0.04,-0.32,-3.23,-15.57,0.99,0.19,-0.28,-6.92,-6.02,-13.91,0
-0.28,-0.6,0.56,7.39,5.5,2.64,0.61,0.62,-0.71,-15.46,-2.26,9.82,-0.81,1.09,0.62,0.41,0.33,11.48,0
0.02,-0.15,0.86,1.04,16.73,1.66,-0.74,0.47,-0.11,5.54,-3.23,7.38,-1.26,-0.71,-0.88,2.36,10.09,-4.15,0
-0.88,-0.75,1.16,-8.73,-8.66,-4.69,-0.14,-0.43,1.24,-0.81,6.53,-3.36,0.54,-0.56,-0.28,-3.99,-3.09,-5.12,0
-0.88,-0.75,-0.04,12.76,0.13,-2.74,0.01,-0.58,-1.31,-10.58,-4.7,1.52,0.39,0.64,1.37,2.85,-5.53,-4.15,0
-0.28,0.6,0.11,8.36,7.94,1.66,-0.44,-0.58,0.64,0.16,6.04,7.38,1.14,0.34,0.62,2.85,1.79,13.92,0
-0.88,-0.3,0.26,8.85,-3.78,7.03,0.01,0.47,-0.86,-9.11,-1.77,-8.74,-0.21,-0.86,0.17,4.31,-3.58,-4.63,0
0.77,0,-0.49,2.02,-6.22,-11.53,-0.59,-0.43,-1.16,6.02,-5.19,-5.81,0.99,0.19,0.47,-5.45,-5.04,8.55,0
0.32,0,-0.94,-3.84,-4.27,-5.67,2.41,-0.58,0.64,2.61,-1.77,6.4,0.09,-0.86,1.22,-3.5,2.77,2.69,0
0.47,-0.6,0.11,0.55,-0.85,3.12,-0.74,-0.28,0.64,0.16,1.16,14.21,-0.06,0.64,1.07,4.31,11.07,7.57,0
-0.88,-1.2,0.71,9.34,8.43,0.68,0.61,-0.43,0.34,2.12,-1.77,5.42,0.09,-0.56,0.47,-2.52,1.79,9.53,0
1.37,1.05,0.56,6.9,3.54,-4.2,-0.44,-0.58,-0.86,1.14,-0.79,-4.83,-0.21,-0.26,1.22,2.36,-7,10.99,0
-0.58,0.75,0.26,2.99,-1.34,-5.18,-0.59,-0.13,-0.41,-8.62,3.11,2.49,-0.36,-0.41,0.62,6.27,3.26,0.25,0
-0.58,0.45,0.26,4.95,4.03,0.68,-0.74,-1.33,-1.76,-8.62,-11.53,14.7,-1.26,0.34,0.62,-0.08,4.23,-9.03,0
0.25,0.3,0.7,-20.09,12.91,-57.24,0.38,1.06,0.83,-6.22,-3.08,12.94,0.2,0.14,-1.08,-6.68,8.13,-1.24,0
-1.4,0.3,-0.5,-2.51,1.67,-0.11,0.68,0.61,-0.67,5.5,-7.47,20.26,0.2,-0.31,0.42,-0.33,13.5,10.97,0
0.55,-0.6,-0.35,31.18,7.05,-45.03,-0.52,-0.14,-0.37,21.61,-6.01,1.22,-2.05,-0.61,-1.08,-50.62,27.17,45.15,0
-0.5,0.75,-0.5,158.62,-105.26,25.77,-0.07,0.61,-0.67,135.87,-117.82,-51.52,-0.1,-0.31,-0.33,169.59,73.56,29.52,0
-0.95,1.5,-0.5,61.94,20.23,99.01,-0.67,-0.59,-0.52,-36.49,26.22,55.42,0.2,0.44,1.47,-386.07,37.92,-47.63,0
-2,-0.3,-1.1,5.3,34.39,5.75,-1.12,-0.29,0.68,21.12,-20.65,13.91,-0.1,-0.31,1.02,31.41,10.08,21.71,0
-1.4,0.3,0.25,34.6,36.34,26.25,-0.67,0.46,1.73,12.33,0.34,8.54,-0.25,-0.76,1.32,4.55,3.74,17.8,0
-1.1,0.45,0.85,129.33,92.98,16.98,1.13,-0.14,2.33,21.12,-9.91,50.05,0.5,-0.46,0.12,-28.16,32.06,79.81,0
-2,0.15,0.4,-524.48,82.73,-515.25,-1.12,0.91,0.23,637.82,-1261.87,1010.43,-0.85,-0.31,-0.78,779.95,-95.87,-1560.32,0
-0.05,-0.9,1.75,1.89,2.65,-4.51,0.38,-1.19,0.83,-0.36,-0.15,10.98,0.5,0.59,0.57,-5.7,-13.35,0.71,0
0.7,0,0.7,0.91,1.67,5.75,0.08,0.46,0.23,2.08,2.29,-0.25,0.5,1.04,-0.63,17.74,10.08,10.48,0
0.25,-0.9,-0.2,7.75,0.21,12.09,-0.97,1.36,1.28,-4.76,7.67,-1.22,0.8,-1.21,0.57,-8.63,4.22,-0.26,0
1,0.45,-0.35,-3.48,9,-0.6,0.53,-0.29,-0.52,4.03,3.27,6.59,0.2,1.19,0.42,-4.72,-4.08,2.18,0
-0.05,0.3,-0.2,-2.51,-17.37,-2.55,-0.07,-0.44,0.08,-5.24,-0.15,-0.74,1.7,0.29,-0.18,4.07,5.2,-4.17,0
1.15,1.95,-0.5,6.28,-2.23,-12.81,0.98,-0.29,0.23,-3.78,0.34,3.17,0.05,0.29,-0.63,-6.68,5.2,-1.73,0
-0.05,-0.45,0.25,-4.95,0.21,0.86,1.13,1.06,0.08,-4.27,4.25,0.73,0.8,-0.01,-0.63,-4.23,9.59,-8.56,0
0.55,0.45,0.1,1.89,-10.53,-5,-0.37,1.21,0.68,-0.36,-3.56,-2.69,-1.3,-0.31,-0.33,3.58,7.15,5.11,0
-0.35,0.45,-0.35,-3.97,-20.3,-1.09,-0.52,0.61,-0.37,-4.76,1.32,-0.25,0.65,-0.61,0.42,-6.68,7.64,-1.24,0
-0.65,0.45,0.4,4.82,-3.7,-10.85,0.08,-0.29,-0.07,2.57,6.2,-5.13,1.7,0.29,0.57,2.11,-2.12,4.13,0
-0.35,-0.6,-0.8,6.28,-7.6,-2.55,0.53,0.46,1.43,3.06,-5.52,9.52,0.5,-0.76,-0.18,0.16,-2.61,-6.61,0
-0.35,-0.6,0.1,4.82,2.65,-2.07,-0.07,-0.14,0.83,-3.29,-0.15,-10.01,-0.85,-0.31,-0.33,3.09,-13.84,-3.19,0
0.7,0.75,-0.2,12.14,-2.72,0.86,-0.67,0.91,-1.72,7.94,0.83,-7.57,-0.25,-0.01,0.57,6.02,-2.61,7.55,0
-0.65,0.15,0.1,-11.3,3.63,0.38,0.38,-0.14,-0.37,5.01,-8.45,-1.71,0.05,0.59,0.87,-3.75,-9.94,-5.15,0
0.1,0.15,0.1,9.21,-5.16,-3.04,0.98,-0.29,-0.82,-4.76,-6.01,-3.67,0.5,-1.21,-0.18,-0.33,-0.17,-2.71,0
