MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,AccX2,AccY2,AccZ2,MagX3,MagY3,MagZ3,AccX3,AccY3,AccZ3,Class
-0.92,4.24,1.83,49.96,-76.37,-180.64,-2.13,1.57,0.51,-7.7,17.55,-12.77,-0.94,0.27,-0.79,-53.41,-16.24,-25.43,1
-0.77,4.09,3.63,25.06,31.54,-1.44,-1.98,1.27,0.66,13.3,-3.45,-24,0.41,0.12,-1.39,20.81,-29.42,-7.36,1
-1.82,4.24,4.08,-15.47,29.59,-18.53,-0.78,1.27,0.66,-5.74,18.04,-0.56,0.86,0.12,1.61,13.97,16.47,-4.92,1
-0.32,4.39,5.13,-10.1,11.04,21.51,-0.93,0.07,2.31,-5.74,3.88,-26.93,0.56,1.32,-1.84,-21.67,4.27,-22.01,1
-0.32,4.84,3.63,2.11,29.59,-32.69,0.57,2.02,3.66,6.46,-6.38,5.3,-0.49,2.37,0.26,8.6,3.29,-24.45,1
-0.77,2.14,1.23,88.54,18.85,39.58,0.72,2.32,3.21,-97.05,86.88,40.94,1.16,2.22,0.41,3.72,-6.96,11.68,1
-0.17,1.54,-0.57,-278.65,-296.09,-2046.85,-0.78,0.52,0.21,136.35,-79.13,1007.68,0.41,0.12,-0.94,224.91,-88.02,-297.89,1
-0.17,1.54,-0.57,-2.29,6.15,-10.72,-0.48,0.37,-2.64,7.44,8.76,-7.4,-0.34,0.42,-0.19,-3.6,-1.59,-2.97,1
0.58,0.19,0.48,0.16,1.76,-0.95,-1.68,-0.38,-0.84,2.56,11.69,-2.51,0.41,0.72,-0.94,-1.65,-5.01,5.82,1
-1.52,1.39,0.48,-5.21,-7.52,5.4,-0.48,1.57,0.51,4.02,4.85,-8.86,-0.04,0.42,-1.69,7.14,-1.1,7.29,1
-0.47,1.84,0.63,4.06,5.66,0.02,-0.33,0.52,-1.29,-9.16,4.85,-3.98,-0.19,1.32,-1.84,6.16,4.76,1.43,1
-3.47,4.24,1.38,5.04,-14.36,-250.95,-1.38,1.12,-1.89,27.95,-45.93,13.6,0.86,0.72,-0.64,-4.09,-17.71,-105.51,1
-4.22,6.19,0.63,10.9,-13.38,-30.25,0.12,2.02,0.66,-10.14,0.46,-2.51,1.01,-0.48,-3.34,-8.97,9.15,-3.95,1
-3.62,6.34,2.43,9.43,41.31,-8.76,-1.98,0.22,-0.84,-14.04,16.57,15.06,0.56,-0.18,-0.49,3.72,19.4,-22.99,1
-3.62,7.09,3.18,-4.73,-1.17,-50.76,-2.28,0.97,0.66,0.61,-3.94,1.39,-1.09,0.12,-0.19,16.42,-19.66,-15.66,1
-2.12,8.59,4.08,38.24,38.38,40.06,-1.68,0.82,2.01,3.54,-3.45,7.25,-1.09,0.72,-0.94,-43.15,-24.05,-45.45,1
-0.92,3.04,1.38,35.8,29.1,-97.14,-2.13,1.12,0.81,98.26,-53.74,-43.04,-0.79,-0.33,0.11,-76.36,-8.43,6.8,1
2.38,1.54,1.38,9.43,-8.5,-11.69,-1.08,0.52,0.21,13.79,4.37,0.42,-0.34,0.72,-2.14,43.27,-103.15,-675.33,1
-0.92,1.09,-0.12,9.43,-1.66,-1.93,-0.03,1.12,-1.44,-3.3,6.32,-5.93,-1.54,0.12,-1.39,-2.63,1.34,-5.9,1
-0.47,-0.41,0.63,-3.26,7.62,-3.88,0.57,0.97,-1.29,-1.84,-8.33,0.9,1.01,0.27,-2.29,1.77,-9.89,7.29,1
-0.32,1.39,-0.42,5.04,7.13,1.49,-0.03,-0.68,0.51,-10.63,0.95,8.23,-0.04,0.42,-2.44,5.19,6.22,-5.41,1
-0.17,1.54,-1.32,6.5,-7.03,0.02,0.12,0.52,-1.59,-4.77,-4.91,-4.96,0.56,-0.18,-1.24,-4.58,-0.62,3.38,1
-0.17,0.79,0.18,3.57,9.08,2.95,-0.48,0.37,-0.24,-18.44,-5.4,-11.79,0.26,-0.48,-1.54,6.65,-4.03,-9.32,1
0.58,0.19,1.53,-2.77,-4.1,4.42,-0.78,-0.53,0.21,11.84,-6.87,-1.05,1.01,-0.48,-1.54,-2.14,1.34,-4.92,1
0.13,0.49,-0.42,0.16,0.29,4.42,1.77,0.22,-0.09,-7.21,-5.4,-1.54,1.61,0.42,-1.69,3.23,0.36,-8.34,1
