MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,AccX2,AccY2,AccZ2,MagX3,MagY3,MagZ3,AccX3,AccY3,AccZ3,Class
1.08,0.01,0.23,-6.79,7.83,22.92,-0.29,0.73,-0.93,7.78,3.26,-10.25,0.35,1.45,0.71,1.61,-6.25,-10.72,2
0.18,0.01,-0.97,-7.28,-10.24,-37.62,-0.59,-0.77,-0.18,5.34,-2.6,-19.53,-0.1,0.1,0.71,-14.99,1.07,26.88,2
0.03,1.51,0.38,-5.81,1.97,-17.11,-0.29,-0.47,-0.48,-10.28,0.33,79.1,-0.25,-0.2,0.41,8.45,5.95,42.5,2
-1.47,-0.29,0.23,-8.74,-5.84,-110.38,-1.19,0.88,0.87,21.45,-10.41,24.9,0.05,-0.5,-0.64,-25.24,1.56,17.11,2
-0.57,-0.74,-1.42,-27.78,-19.03,137.67,-0.44,-0.32,-0.33,8.76,-49.47,508.3,-0.1,0.7,-1.24,79.25,-9.18,-64.43,2
-0.42,0.61,0.38,-324.17,108.42,-1182.64,-2.24,1.48,-0.18,132.78,-102.7,596.68,0.5,1.3,0.11,-247.41,128.51,567.89,2
-0.42,1.06,0.38,3.47,19.06,14.14,-1.49,1.03,-0.18,2.9,34.02,-42.97,-0.4,0.7,1.31,-30.13,12.79,26.88,2
1.53,1.21,-0.22,0.54,-1.94,30.74,-1.04,1.03,2.07,-30.79,29.14,8.79,-0.4,1.45,0.71,-47.22,38.18,76.19,2
1.08,0.91,-0.22,16.16,32.73,87.87,-0.29,0.28,2.52,22.92,21.81,-52.24,0.05,2.05,1.16,-13.52,6.93,-11.7,2
0.03,1.81,0.83,12.25,22.48,-15.16,-1.04,0.28,2.07,22.43,8.14,2.93,-1.3,1.45,1.76,16.75,15.72,79.61,2
-2.22,0.91,1.43,13.72,42.01,-110.38,-0.89,1.33,1.92,-50.32,22.3,-171.87,-0.1,3.4,1.31,-56.98,67.48,235.86,2
-0.27,0.01,3.83,121.63,429.22,-92.8,-1.64,0.43,4.17,-17.12,-191.56,930.18,-1.45,3.55,1.61,284.82,-127.84,-442.85,2
1.08,-0.29,3.83,2.49,1.48,-7.84,-1.49,1.78,3.72,22.43,-19.2,45.9,-0.25,3.55,0.86,-10.59,4.49,15.65,2
2.73,-0.29,3.83,10.3,4.41,-101.1,-1.19,2.08,4.62,-1.5,6.68,14.16,0.95,2.8,1.16,-18.9,14.74,64.48,2
2.13,0.31,2.78,1.02,15.15,37.08,0.76,2.38,4.17,15.59,23.28,-168.94,0.95,2.8,1.61,33.35,-18.46,-92.75,2
2.13,-1.34,1.28,84.52,1.97,-277.37,1.36,2.23,2.07,-38.61,-57.29,222.66,2.15,1.75,0.11,-21.83,23.04,25.41,2
1.83,0.91,2.18,40.57,-16.58,-69.36,0.91,1.03,1.32,-64.48,129.24,-385.74,1.55,1.15,1.01,257.96,5.95,-263.16,2
-0.57,-0.74,1.73,3.47,27.85,1.93,-0.29,1.48,1.02,-43.49,57.46,54.69,0.65,0.7,-0.04,-50.15,4.49,46.9,2
-0.87,-0.44,2.03,24.95,13.2,-62.04,-1.49,0.73,-0.18,52.7,-80.72,169.92,1.1,0.4,0.71,-64.31,55.27,166.04,2
-2.67,-2.69,1.43,-26.32,3.92,289.04,0.61,-0.02,1.32,-99.64,14.49,146.49,0.95,-0.5,0.86,14.8,-20.9,-101.54,2
-2.67,0.46,1.73,83.06,180.68,255.83,-0.89,-0.32,0.42,-1.98,-155.92,7.81,0.05,0.25,0.41,211.57,-3.81,-40.02,2
-1.92,0.91,0.98,34.72,429.22,461.89,-1.19,-1.82,1.17,139.13,-131.02,-680.66,1.1,1.15,0.71,-607.76,202.73,1071.74,2
-1.17,-0.89,-1.12,5.42,4.9,-18.09,-0.59,-0.47,-0.18,3.88,8.14,-26.85,0.05,-1.55,0.11,-20.85,18.65,14.67,2
-1.02,0.01,-1.42,3.47,-5.35,15.6,0.61,-1.22,-0.18,-1.98,-3.09,-5.37,1.25,1,-0.94,19.68,-8.21,-14.63,2
0.48,-0.44,-0.82,3.47,-8.28,-16.14,0.31,-0.32,-0.78,14.13,-2.6,-7.81,-0.1,0.1,0.71,-31.1,14.74,29.81,2
0.03,0.31,0.38,7.86,-0.96,17.07,0.01,-0.32,-0.03,-1.01,0.33,-27.34,0.35,-0.65,0.26,4.05,12.79,-9.25,2
0.03,0.61,0.38,0.05,-9.26,-14.67,-0.89,0.43,-1.08,6.32,-9.44,9.77,-1.3,-0.65,-0.49,-8.64,-0.39,-8.28,2
-0.42,-0.14,0.08,-0.93,-14.63,2.91,0.16,0.28,-0.18,-6.87,7.65,-3.42,-0.1,-1.4,0.26,-17.43,-6.25,19.07,2
-0.42,-0.89,0.38,5.42,-5.35,15.11,-0.44,-0.32,-0.33,5.83,1.8,-21.48,0.5,0.55,0.86,7.96,7.91,-9.74,2
0.18,-0.29,0.68,18.11,-7.31,8.76,0.91,0.73,0.27,-0.03,-6.51,7.33,0.65,-0.35,1.01,-1.81,5.47,8.81,2
0.48,-0.14,-0.82,-7.77,-5.84,-11.26,0.16,0.28,-0.93,-8.82,6.19,-2.93,0.05,-0.2,-0.64,-8.15,4.98,19.07,2
0.63,-0.29,-0.52,-10.69,10.27,0.95,-0.89,0.43,-0.03,7.29,-4.06,-9.76,0.35,-0.65,-0.49,-4.74,-3.81,-11.7,2
-1.17,1.51,0.38,8.84,1.97,6.32,-1.19,1.33,0.87,9.73,-0.65,14.65,-0.1,-1.1,-1.54,-0.83,0.58,2.95,2
0.78,0.61,-1.57,10.3,-4.86,-15.65,-1.49,0.28,-0.48,14.62,-2.6,2.93,1.55,-0.65,-0.49,-6.2,1.56,8.32,2
-0.87,0.31,-0.37,0.05,-5.84,5.83,-0.59,-0.02,-0.18,-12.73,-0.16,-12.21,-0.4,0.1,1.01,-3.76,9.86,13.21,2
0.48,0.31,0.08,4.93,2.95,-1,-0.89,0.13,1.17,-4.43,4.72,-7.81,-0.25,0.25,-0.64,-9.13,-2.35,1,2
1.53,0.01,0.23,-6.79,5.39,-4.42,-0.44,-1.37,0.87,-6.38,4.24,0,-0.4,-1.1,1.01,7.47,5.47,-0.47,2
-1.02,0.46,0.98,0.54,-0.96,-12.72,-1.04,0.28,-0.18,3.39,-0.65,-0.49,-0.1,-0.65,1.01,-14.99,13.28,10.28,2
0.18,0.01,0.23,-7.28,9.3,10.23,-0.59,0.28,1.32,5.83,7.65,-8.79,-0.7,0.55,-0.64,0.64,-3.81,-4.37,2
