MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,AccX2,AccY2,AccZ2,MagX3,MagY3,MagZ3,AccX3,AccY3,AccZ3,Class
-0.97,-0.03,0.54,-3.56,0.97,-31.94,0.05,-0.36,0.06,3.42,-2.84,-15.96,1.12,-0.02,0.69,-24.67,9.94,43.53,2
-0.97,0.27,0.09,11.09,-1.47,6.14,-0.4,-1.11,0.06,-1.95,-5.77,-17.43,0.22,-0.17,0.54,4.63,-10.08,-36.06,2
0.53,0.87,-1.26,1.81,0.49,-20.71,-1.15,0.09,0.06,-11.72,-8.7,28.96,0.22,0.88,-0.21,-7.58,7.01,31.33,2
-0.22,0.57,-0.06,3.77,6.35,-1.67,-0.85,-0.36,0.36,-9.28,5.46,-3.76,0.82,1.48,0.99,-1.72,11.4,-5.78,2
1.58,1.47,0.54,2.3,10.25,16.88,0.35,0.84,-0.39,15.63,-4.3,-20.36,-0.23,0.13,0.54,25.63,-14.96,-57.05,2
1.88,1.77,-0.06,-4.05,-6.84,35.44,-1.0,0.24,0.21,25.88,-8.21,13.82,0.82,1.48,-0.51,-9.53,3.1,34.26,2
0.08,0.57,0.69,-13.32,-4.88,-73.45,0.2,0.24,0.21,-17.58,11.32,-65.28,0.37,0.73,-0.81,-58.85,31.42,121.17,2
1.58,1.47,-1.56,4.25,0.49,110.15,-0.25,0.99,-0.54,-25.39,81.15,-302.58,-0.08,0.73,-0.06,101.31,-42.31,-140.06,2
1.88,-0.18,0.24,-27.0,-35.65,103.8,-0.55,1.44,0.66,-11.72,-11.14,328.76,0.22,1.18,-0.21,-64.7,51.44,350.17,2
-0.97,0.27,2.79,107.28,-59.57,300.09,-1.75,0.99,3.36,216.31,45.01,79.25,2.32,1.03,0.99,-784.43,203.3,1074.72,2
-2.92,0.27,5.64,12.07,17.58,-50.99,-4.3,1.44,3.36,45.9,5.95,31.89,0.52,1.93,1.14,-34.92,5.06,3.98,2
-6.52,-1.08,5.34,-0.63,1.95,-42.69,-5.2,0.39,3.06,-3.9,31.34,-6.2,2.17,2.38,3.09,24.65,3.1,27.91,2
-5.77,-2.58,3.84,35.02,11.72,108.19,-6.1,0.84,4.26,21.49,49.9,-9.13,0.37,3.28,3.99,42.72,-11.06,-30.2,2
-4.42,-3.33,5.04,-2.09,40.53,-88.58,-3.85,0.24,4.41,27.35,-1.37,182.77,1.42,4.93,4.89,-45.66,32.89,95.78,2
-3.22,-2.58,6.24,-3.07,63.47,200.48,-3.85,0.69,4.86,-23.44,96.77,-213.23,0.52,3.73,3.84,129.14,8.96,190.51,2
-2.77,-0.63,6.54,15.49,10.25,19.81,-5.8,0.99,5.61,0.49,-10.65,42.14,2.02,3.28,1.74,16.84,-4.22,-25.8,2
-4.42,-0.18,6.24,0.35,-12.7,-110.07,-3.4,-0.51,4.86,-20.99,21.58,-15.96,-0.83,4.03,0.69,-40.78,22.15,111.4,2
-3.67,-1.38,4.29,-22.11,-47.85,-89.07,-3.25,-1.86,2.76,21.0,6.93,-61.86,0.22,2.68,2.34,-6.11,-4.71,24.98,2
-2.92,-0.48,1.59,49.18,-29.79,-46.1,-3.7,-1.41,1.56,-81.54,-20.9,333.16,-1.73,2.38,1.89,-3.67,12.87,77.71,2
-4.87,0.12,-0.06,-143.69,-129.88,276.65,-3.4,-1.26,-0.09,348.15,-37.51,-252.29,-0.83,1.48,0.99,-254.16,68.53,338.94,2
-3.22,1.77,-1.26,39.9,24.41,10.05,-1.6,-1.41,-3.39,48.83,-18.46,7.96,-0.98,0.43,1.14,-75.94,-14.96,-92.7,2
2.03,3.42,-3.06,0.84,17.09,63.76,2.9,-1.41,-0.69,-19.53,52.34,75.83,1.12,-0.77,2.94,-20.76,4.57,-39.96,2
2.48,4.17,-4.71,60.9,-8.3,105.75,3.05,0.24,-1.74,-29.78,-65.83,171.54,0.22,0.13,2.64,10.0,26.54,39.63,2
2.63,3.27,-3.66,-100.24,-84.96,266.4,3.8,-1.56,-0.54,-26.85,64.55,47.51,1.72,-0.92,3.09,76.9,23.61,49.88,2
0.98,1.77,-2.01,-21.14,239.26,-154.5,3.2,-0.66,-2.64,-138.67,-443.75,738.92,0.37,-0.02,1.74,3.65,-109.69,-620.04,2
0.38,-0.78,-2.31,-2.09,-17.09,13.47,2.0,-0.36,-0.69,1.95,-10.16,-11.08,0.22,0.43,0.09,-18.81,8.96,12.77,2
