MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,AccX2,AccY2,AccZ2,MagX3,MagY3,MagZ3,AccX3,AccY3,AccZ3,Class
-0.01,0.22,-0.34,7.78,-3.19,6.65,-0.83,-0.25,-0.38,0.64,3.73,11.14,1.39,-1.33,0.31,-2.56,-17.97,7.43,2
-0.61,0.07,0.71,8.27,12.43,1.77,0.82,0.2,0.67,-1.8,10.07,3.82,-0.11,0.62,0.46,-12.82,3.02,11.33,2
0.44,0.22,0.11,16.09,5.6,2.74,0.82,0.2,0.37,5.03,-6.04,-6.44,0.79,-0.88,0.01,-12.33,9.37,12.8,2
2.54,-0.53,0.41,-9.79,-16.87,-85.64,2.02,1.25,1.12,-36.96,15.45,20.91,2.14,0.17,-0.14,25.76,27.92,69.93,2
2.69,0.37,-1.39,27.8,-12.47,269.83,3.52,1.1,-1.73,130.03,-22.15,-315.03,1.39,0.17,-1.19,118.04,-68.75,-463.28,2
2.84,3.37,-0.79,-11.75,-18.82,-16.79,2.92,0.5,-1.58,68.02,-52.43,-7.41,2.29,1.37,1.21,19.41,-38.48,54.79,2
2.24,3.97,-0.19,-0.03,-15.4,226.38,3.82,-0.7,-0.23,20.17,-37.29,93.66,3.34,1.22,0.31,17.95,10.35,13.77,2
3.74,2.17,-0.79,46.36,14.38,101.86,6.67,-0.7,2.02,20.66,-24.1,54.11,3.49,1.07,0.01,19.9,15.72,68.46,2
2.84,0.97,0.86,-35.18,-21.75,0.79,7.27,0.5,1.12,-28.17,13.49,21.39,3.64,1.22,2.11,-16.72,-20.42,-0.39,2
1.49,0.37,0.26,30.73,56.38,596,4.42,1.7,1.42,-130.71,-39.24,393.46,2.29,1.07,1.96,371.95,-130.28,-608.78,2
0.59,0.37,2.66,-0.52,-0.26,3.23,1.42,0.35,3.52,4.54,-0.67,-12.78,-0.26,2.72,2.41,2.32,-3.33,-13.57,2
-1.06,-0.38,2.66,4.86,1.69,-1.16,-2.18,-0.7,1.72,-9.62,1.77,15.54,-0.26,3.32,1.66,8.67,0.58,-4.29,2
-2.56,-2.03,0.86,2.41,-1.24,-3.61,-1.88,-0.7,1.72,-3.76,-0.67,-1.07,0.19,1.97,0.31,0.37,11.32,-3.32,2
0.14,1.27,1.46,7.3,5.11,15.93,-2.48,-2.05,0.67,-7.66,-12.39,-6.93,-1.46,0.47,0.91,-26,10.83,4.5,2
-1.66,-0.08,-0.79,15.11,29.03,54.5,-0.53,-1.45,-0.98,-13.52,-3.11,-43.55,-1.76,0.77,-0.44,-32.83,11.32,43.56,2
-1.51,0.07,-0.19,-4.42,16.34,-19.72,-0.83,-2.05,-1.88,48.49,-72.44,23.35,-1.61,-0.43,1.51,-181.27,7.42,-36.52,2
-1.96,1.27,-0.49,53.19,-6.61,61.82,-2.03,-0.55,-6.08,-15.96,50.11,-55.27,-1.61,0.62,0.76,-6.96,4.98,-6.73,2
-0.16,2.02,-0.49,0.46,28.54,23.25,0.67,0.35,-8.63,6.99,-31.43,57.04,-2.51,0.47,-0.14,-86.06,7.91,38.19,2
-0.46,0.97,-1.09,-27.86,25.62,-55.85,2.47,0.2,-5.78,-44.28,63.79,-106.05,-1.76,-1.33,-0.89,-15.74,-4.3,-26.75,2
-0.01,0.22,-1.84,188.45,89.58,-161.32,0.82,-0.25,-3.08,152.98,-217.46,-353.61,-0.26,-1.33,-0.44,146.36,-32.62,514.75,2
-1.06,-0.38,-0.94,-2.47,-6.61,8.6,0.22,0.05,-0.98,2.59,-0.18,-7.9,-0.56,0.47,-0.89,-46.51,-2.84,-28.22,2
-1.06,0.07,-0.94,4.86,-5.63,3.23,-0.38,-1,-0.83,-13.52,-5.06,-2.04,0.34,-0.43,-0.74,-12.82,-0.4,7.91,2
-1.51,-0.38,0.26,10.71,-3.19,-2.63,-0.53,-0.7,-1.43,2.59,13.98,-8.39,-1.01,-2.08,0.61,5.25,-2.84,3.52,2
-0.01,1.42,-0.79,-2.96,8.04,6.65,-0.53,0.35,-0.68,1.61,-7.99,1.38,-0.41,1.37,0.46,-5.49,0.58,-7.22,2
-1.21,-0.08,0.11,-5.89,-2.22,8.11,-0.38,-1,-0.08,-3.76,-4.57,-1.07,-0.41,-0.13,0.46,6.72,2.53,4.99,2
-0.16,2.02,-0.19,4.37,3.15,-2.63,-2.78,0.95,0.67,8.94,5.68,0.4,-1.01,0.77,0.91,-6.96,1.07,16.7,2
-1.66,-0.98,0.86,2.41,9.5,-0.19,-0.83,0.95,0.37,-3.27,-3.6,-5.95,0.19,-0.28,-0.14,-0.12,-0.4,-3.32,2
-0.01,-0.53,1.31,0.95,3.15,-3.12,-0.53,0.05,-0.68,-0.83,-1.16,-1.07,-2.06,-0.13,1.21,-2.07,-10.65,-5.27,2
-0.16,-0.38,-0.19,18.04,9.5,9.58,0.22,0.05,-0.23,1.61,-3.6,-3.02,-1.46,0.17,-0.44,-6.96,-13.58,4.99,2
-1.21,-0.08,0.41,-3.93,12.43,-1.65,-0.38,-0.55,-0.38,2.1,-8.97,-6.44,-1.46,1.22,0.61,-6.96,2.53,-7.71,2
-1.06,-2.33,-0.19,-1,2.67,-9.46,-0.83,0.5,0.67,-4.24,13.49,3.82,-1.01,0.47,0.91,2.32,3.51,10.84,2
0.14,0.82,0.26,-13.21,1.2,-3.61,0.67,0.35,1.27,-4.24,-2.13,-5.95,-0.26,0.47,0.91,2.32,-6.25,5.96,2
0.14,0.37,-0.49,16.09,10.97,-3.12,-0.23,0.05,-0.23,9.43,-1.16,-4,-0.26,0.77,0.31,5.25,5.95,7.43,2
0.59,-1.88,-1.39,3.39,4.62,-7.02,-0.98,0.35,0.22,-7.17,3.73,6.26,-0.26,-0.58,0.91,-1.58,1.56,-6.73,2
-0.61,-1.13,-0.49,-7.35,-5.15,-1.65,-0.83,-1,-0.83,-1.32,1.77,-2.53,-0.41,1.07,-0.29,-2.07,-3.81,-4.29,2
-0.91,-0.08,-0.34,-1,9.01,0.79,0.07,0.5,-0.83,-11.08,-10.92,-0.09,-1.01,0.17,1.66,1.35,-6.25,6.45,2
