MagX1,MagY1,MagZ1,AccX1,AccY1,AccZ1,MagX2,MagY2,MagZ2,AccX2,AccY2,AccZ2,MagX3,MagY3,MagZ3,AccX3,AccY3,AccZ3,Class
-0.2,0.36,0.45,1.64,-6.63,7.45,0.19,-0.95,-0.46,4.88,-4.96,-9.9,-0.44,-0.64,0.98,11.34,-3.51,8.77,2
0.4,0.96,-0.6,17.27,-2.72,-2.32,0.34,0.7,-1.06,4.39,3.83,2.8,0.46,0.26,0.08,-13.08,6.75,6.33,2
0.55,-0.09,-0.3,-13.01,-5.17,-1.34,0.34,0.25,-0.31,8.3,2.85,1.82,0.16,-1.09,0.68,11.82,-0.58,5.35,2
-0.05,0.96,0.6,7.5,-5.65,-5.25,-0.26,0.85,-0.16,14.64,-8.38,7.68,-0.14,0.11,-0.52,-6.73,-3.51,-2.46,2
0.4,1.26,-0.9,-9.1,-23.72,2.56,0.34,-0.5,-0.31,4.39,14.57,-14.29,-0.44,0.86,1.28,-4.29,-0.58,12.19,2
-0.05,-0.99,0.6,-11.54,5.58,-13.55,-0.71,0.1,1.04,2.44,-11.31,-3.06,-0.14,0.56,0.23,-6.73,-2.04,-0.51,2
-0.2,1.11,-0.3,1.64,0.69,2.08,0.34,-0.8,0.44,15.13,-5.45,0.35,-0.74,0.26,1.13,-5.75,3.82,0.96,2
-0.2,-0.09,0.9,1.64,-9.56,-6.22,-0.26,-0.2,-0.91,0.48,-3.5,-0.62,-1.04,0.26,-0.37,-5.75,5.28,3.89,2
1,-0.39,-0.75,-8.61,-3.21,4.52,0.34,-1.25,-0.31,-6.84,-1.06,-2.58,-0.29,-0.34,-0.67,5.97,-9.37,-1.97,2
-0.05,0.96,-0.6,5.06,-10.05,-5.74,0.34,-0.5,0.14,-5.38,0.9,0.84,-0.44,-0.64,0.53,10.36,-0.58,-2.46,2
0.55,-0.39,-0.75,3.59,-2.72,1.59,0.19,0.1,0.29,3.41,-5.45,10.12,-0.74,-0.04,0.38,5.97,-3.51,11.7,2
0.25,-1.14,0.9,-0.8,7.53,0.61,-0.26,-0.95,-0.91,3.9,3.83,1.33,-2.69,-0.04,0.08,-1.36,-0.58,2.42,2
-0.5,0.21,-0.6,-9.1,-7.12,-15.5,1.99,-0.05,-0.31,7.32,4.31,0.35,0.16,-0.04,0.68,7.43,-7.41,-2.46,2
0.25,0.66,-0.3,-0.31,0.21,-0.37,0.34,-1.25,-1.51,-7.82,2.85,9.14,0.31,0.11,-0.22,7.43,-0.58,6.33,2
0.25,-0.09,-0.3,-2.75,8.51,6.47,0.19,0.55,-0.46,-7.33,3.83,-2.09,0.16,-0.79,-0.67,6.94,-0.09,-0.02,2
0.4,-0.24,0.3,-0.31,11.92,-4.76,0.94,0.55,0.29,-0.49,0.9,-2.58,-0.29,-0.79,1.43,-2.34,-5.95,7.31,2
-0.5,0.21,0.6,1.64,1.67,-5.25,0.04,0.25,0.14,0.97,-1.54,6.21,-0.29,0.71,0.38,8.89,3.82,-2.46,2
1.45,-0.09,0,-17.4,1.67,0.61,1.39,0.1,0.59,-10.26,-0.08,-5.5,-0.14,-0.19,-0.97,-0.38,-11.81,7.31,2
0.85,0.21,-0.9,-4.71,8.99,-3.78,1.39,0.1,-1.21,6.83,-2.03,7.19,-0.89,-0.94,0.98,-2.34,4.79,3.89,2
-0.2,1.86,-0.75,-0.31,1.67,0.12,1.24,-0.05,0.14,1.46,0.9,-5.5,0.31,0.11,0.53,-5.75,7.72,3.89,2
-0.5,0.21,0.3,-10.08,-1.75,-0.85,-0.41,-0.5,-1.06,-6.84,-1.54,9.63,0.31,-1.24,0.98,6.94,-4,0.47,2
-0.5,-0.69,-0.15,-10.08,-3.21,-22.34,-0.41,-0.5,-1.51,-4.89,-6.43,8.17,-0.29,0.26,0.38,11.82,12.12,2.42,2
1,1.11,-0.75,-6.17,-13.47,1.1,0.19,-0.2,0.59,-0.98,2.85,-0.62,-0.44,-1.24,0.98,0.11,6.75,-2.46,2
-0.2,-0.84,-0.75,5.55,0.21,12.33,-0.41,-0.8,-0.76,-9.28,-2.03,5.73,0.31,0.56,1.73,-2.34,3.33,3.89,2
0.25,0.36,0,5.06,0.69,12.82,-0.71,-0.2,-0.91,-4.4,-0.57,6.7,-0.14,-1.24,0.98,0.11,-4.48,-1.48,2
-0.5,-0.99,-0.9,9.45,9.48,-6.71,0.34,-0.05,0.44,-4.89,-3.99,3.28,-0.14,0.56,0.23,0.11,-5.46,-3.92,2
0.4,-0.24,-0.15,-7.15,11.44,1.59,0.34,-0.5,-0.31,-6.84,2.85,2.31,-1.49,0.26,0.38,-8.68,-2.53,3.4,2
1.45,-1.14,0.9,-8.61,5.09,8.91,-0.71,0.1,-0.46,-8.79,-4.47,-2.58,0.46,-0.04,-0.37,8.41,-5.95,5.35,2
0.4,0.51,-0.6,6.04,-5.17,-3.78,0.19,-0.2,1.04,-2.93,3.34,-3.55,-0.14,0.11,0.98,1.57,3.33,7.31,2
-0.5,-0.69,-0.9,-7.15,5.09,1.59,-0.86,0.25,0.89,10.25,-8.87,-10.39,1.51,-0.19,0.23,3.52,9.19,-9.3,2
1.3,-0.24,-0.15,-7.15,-0.77,-5.25,-0.26,0.1,0.59,-3.42,6.27,16.47,-0.29,-0.04,0.08,10.36,-3.02,-11.25,2
-0.05,1.71,-0.15,-1.78,-0.28,5.01,0.19,0.1,-1.66,-1.47,-1.54,2.31,0.31,0.56,-0.22,-4.78,-6.93,-1.48,2
0.4,-0.24,-0.9,4.08,-6.63,6.47,-0.26,-0.2,-0.16,-7.33,-4.47,8.17,-1.64,-0.94,-0.22,0.11,-0.58,21.47,2
0.55,0.66,-0.3,8.96,6.55,-6.22,-0.71,0.1,-0.16,-6.84,0.9,-0.13,-0.14,-0.19,0.53,-5.27,9.19,8.28,2
1,-0.39,0.9,6.04,-10.05,2.08,0.94,-0.2,-0.16,6.34,-9.85,7.19,0.31,-0.19,0.23,6.45,0.4,0.96,2
1,-0.09,0,-19.36,-3.21,-7.2,-0.41,-0.8,-0.76,-5.86,-8.38,-4.04,0.16,0.71,-0.67,-3.31,2.35,5.84,2
